2025-08-12 15:43:00,296 | INFO | main | Starting main application...
2025-08-12 15:43:00,960 | INFO | producer | Producer thread started.
2025-08-12 15:43:01,120 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-08-12 15:43:01,140 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-08-12 15:43:01,140 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-08-12 15:43:01,140 | WARNING | kafka.coordinator.consumer | group_id is None: disabling auto-commit.
2025-08-12 15:43:01,140 | INFO | kafka.consumer.subscription_state | Updating subscribed topics to: ('price_ticks',)
2025-08-12 15:43:01,145 | INFO | consumer | Kafka consumer started.
2025-08-12 15:43:01,145 | INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='price_ticks', partition=0)]
2025-08-12 15:43:01,147 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-08-12 15:43:01,147 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-08-12 15:43:01,147 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-08-12 15:43:01,152 | INFO | kafka.consumer.fetcher | Resetting offset for partition TopicPartition(topic='price_ticks', partition=0) to offset 3063433.
2025-08-12 15:43:01,569 | INFO | websocket | Websocket connected
2025-08-12 15:43:01,569 | INFO | producer | WebSocket connected
